ID_ENTIDAD,NOMBRE_ENTIDAD,CANTIDAD_DEUDORES,MONTO_TOTAL,MONTO_PREVISIONES,MONTO_SIT_1,MONTO_SIT_2,MONTO_SIT_3,MONTO_SIT_4,MONTO_SIT_5,MONTO_SIT_11
10692,F.F. PRIVADO FRANKEL,120743,76549660.0,76549660.0,0.0,0.0,0.0,194379.0,76355281.0,0.0
10812,F.F. Y DE ADM REFINANCIAMIENTO DEUDORES AGROP PCIA DE RIO NEGRO,65,18832.0,18832.0,18715.0,0.0,0.0,0.0,117.0,0.0
10903,FF PRIVADO GESTIÓN DE ACTIVOS IV,17955,4427986.0,4427986.0,113.0,0.0,0.0,893.0,4426980.0,0.0
10914,RECUPERO DE ACTIVOS FIDEICOMISO FINANCIERO,277647,98840917.0,98840917.0,0.0,0.0,0.0,0.0,98840917.0,0.0
10915,F.F. CENTURIA,3735,394491.0,394491.0,2812.0,0.0,0.0,1441.0,390238.0,0.0
10916,FF CFA CRÉDITOS I,1387,161899.0,161899.0,61216.0,4619.0,6132.0,6567.0,83365.0,0.0
10917,FF CFA CRÉDITOS II,2665,349868.0,349868.0,121977.0,7914.0,10203.0,19798.0,189976.0,0.0
10918,FF CFA CRÉDITOS III,555,91511.0,91511.0,85.0,0.0,442.0,1984.0,89000.0,0.0
10921,Flex Fideicomiso Financiero,2805,284793.0,284793.0,0.0,0.0,0.0,0.0,284793.0,0.0
10922,Maipú Fideicomiso Financiero,2140,1819622.0,1819622.0,0.0,0.0,0.0,354376.0,1465246.0,0.0
10923,F.F. PRIVADO GREEN LIGHT,172209,21086477.0,21086477.0,0.0,0.0,0.0,0.0,21086477.0,0.0
40011,BELAT CROWDLENDING ARGENTINA,8,1351967.0,0.0,1351967.0,0.0,0.0,0.0,0.0,0.0
44077,COMPAÑIA FINANCIERA ARGENTINA S.A.,134694,82522390.0,82522390.0,44504237.0,8085454.0,8900572.0,14811847.0,6220280.0,0.0
44088,VOLKSWAGEN FINANCIAL SERVICES COMPAÑIA FINANCIERA S.A.,27137,564822856.0,402345744.0,557931238.0,3868885.0,1689943.0,971618.0,361172.0,0.0
44092,FCA COMPAÑIA FINANCIERA S.A.,31891,443945262.0,146892446.0,424936174.0,10598687.0,4204213.0,3472232.0,733956.0,0.0
44093,GPAT COMPAÑIA FINANCIERA S.A.U.,33398,291671898.0,55640007.0,269669362.0,11791961.0,3872100.0,6316221.0,22254.0,0.0
44094,MERCEDES-BENZ COMPAÑÍA FINANCIERA ARGENTINA S.A.,1301,177445825.0,42481429.0,158592819.0,12155314.0,3435917.0,2254226.0,1007549.0,0.0
44095,ROMBO COMPAÑÍA FINANCIERA S.A.,45272,416438230.0,95032870.0,404267813.0,7274468.0,2876212.0,1758455.0,261282.0,0.0
44096,JOHN DEERE CREDIT COMPAÑÍA FINANCIERA S.A.,2279,720101733.0,124180326.0,675517496.0,10792184.0,10684536.0,17849052.0,5258465.0,0.0
44098,PSA FINANCE ARGENTINA COMPAÑÍA FINANCIERA S.A.,33359,415575423.0,100929231.0,401728840.0,7411037.0,3644138.0,2280775.0,510633.0,0.0
44099,TOYOTA COMPAÑÍA FINANCIERA DE ARGENTINA S.A.,12420,196863291.0,26240547.0,186015698.0,5787067.0,1047220.0,3958737.0,54569.0,0.0
45030,NARANJA DIGITAL COMPAÑÍA FINANCIERA S.A.U.,1712712,1093918961.0,1093918961.0,904498125.0,63931852.0,74881471.0,50218940.0,388573.0,0.0
45056,MONTEMAR COMPAÑIA FINANCIERA S.A.,25012,81158567.0,80722479.0,55958183.0,4582682.0,7753903.0,9284665.0,3579134.0,0.0
45072,REBA COMPAÑIA FINANCIERA S.A.,35267,50660044.0,47787791.0,39709082.0,2257645.0,4693319.0,3549578.0,450420.0,0.0
50001,ACINDAR PYMES SGR,791,9925075.0,0.0,1881765.0,1530617.0,2667535.0,2545048.0,1300110.0,0.0
50002,AFFIDAVIT SGR,16,137703.0,0.0,28748.0,51576.0,19621.0,29910.0,7848.0,0.0
50003,AGROAVAL SGR,1,2099.0,0.0,0.0,0.0,0.0,0.0,2099.0,0.0
